Id,latitude,longitude,Street Address,Suburb,Post Code
570,-33.7446836,151.2878881,"7 TULICH AVENUE, DEE WHY NSW 2099",DEE WHY,2099
571,-33.79311716,151.2867946,"76-78 NORTH STEYNE, MANLY NSW 2095",MANLY,2095
572,-33.7180329,151.2989307,"55 OCEAN STREET, NARRABEEN NSW 2101",NARRABEEN,2101
573,-33.80258095,151.2876912,"7 OSBORNE ROAD, MANLY NSW 2095",MANLY,2095
574,-33.75713633,151.2913374,"32 THE CRESCENT, DEE WHY NSW 2099",DEE WHY,2099
575,-33.67011528,151.2978986,"11 KUNARI PLACE, MONA VALE NSW 2103",MONA VALE,2103
576,-33.80106683,151.2876625,"13A ASHBURNER STREET, MANLY NSW 2095",MANLY,2095
577,-33.79921039,151.2921638,"132-134 BOWER STREET, MANLY NSW 2095",MANLY,2095
578,-33.65095277,151.3118306,"29 RAYMOND ROAD, BILGOLA PLATEAU NSW 2107",BILGOLA PLATEAU,2107
579,-33.79689739,151.2747949,"74 FAIRLIGHT STREET, FAIRLIGHT NSW 2094",FAIRLIGHT,2094
580,-33.77306194,151.279717,"109 WYUNA AVENUE, FRESHWATER NSW 2096",FRESHWATER,2096
581,-33.8038222,151.2888583,"4 HIGH STREET, MANLY NSW 2095",MANLY,2095
582,-33.78012274,151.2778721,"10 WAINE STREET, FRESHWATER NSW 2096",FRESHWATER,2096
583,-33.78075369,151.2871975,"47 UNDERCLIFF ROAD, FRESHWATER NSW 2096",FRESHWATER,2096
584,-33.76131552,151.2842451,"35 JOCELYN STREET, NORTH CURL CURL NSW 2099",NORTH CURL CURL,2099
585,-33.79366194,151.2714687,"21 AUSTIN STREET, FAIRLIGHT NSW 2094",FAIRLIGHT,2094
586,-33.72307837,151.2933499,"54 CLARKE STREET, NARRABEEN NSW 2101",NARRABEEN,2101
587,-33.78751752,151.2836678,"225 PITTWATER ROAD, MANLY NSW 2095",MANLY,2095
588,-33.74748479,151.2380296,"4 GARIE PLACE, FRENCHS FOREST NSW 2086",FRENCHS FOREST,2086
589,-33.77204869,151.2674868,"556-562 PITTWATER ROAD, NORTH MANLY NSW 2100",NORTH MANLY,2100
590,-33.75459433,151.2876214,"38 PACIFIC PARADE, DEE WHY NSW 2099",DEE WHY,2099
591,-33.67549711,151.3133821,"32 HEATH STREET, MONA VALE NSW 2103",MONA VALE,2103
592,-33.78845074,151.2834396,"23 COLLINGWOOD STREET, MANLY NSW 2095",MANLY,2095
593,-33.76940742,151.2758599,"86 WILLIAM STREET, NORTH MANLY NSW 2100",NORTH MANLY,2100
594,-33.75737987,151.2399587,"22 MADISON WAY, ALLAMBIE HEIGHTS NSW 2100",ALLAMBIE HEIGHTS,2100
595,-33.79594505,151.2598303,"51 WEST STREET, BALGOWLAH NSW 2093",BALGOWLAH,2093
596,-33.79787103,151.2806019,"2 FAIRLIGHT STREET, MANLY NSW 2095",MANLY,2095
597,-33.7969973,151.2874654,"2 SYDNEY ROAD, MANLY NSW 2095",MANLY,2095
598,-33.78538915,151.2883157,"8A GREYCLIFFE STREET, QUEENSCLIFF NSW 2096",QUEENSCLIFF,2096
599,-33.59951391,151.3240091,"52 FLORIDA ROAD, PALM BEACH NSW 2108",PALM BEACH,2108
600,-33.75587185,151.2893215,"9 THE CRESCENT, DEE WHY NSW 2099",DEE WHY,2099
601,-33.7839928,151.2648248,"27 SUNSHINE STREET, MANLY VALE NSW 2093",MANLY VALE,2093
602,-33.62314401,151.3349498,"7 BURRAWONG ROAD, AVALON BEACH NSW 2107",AVALON BEACH,2107
603,-33.6373567,151.2781112,"8 STURDEE LANE, ELVINA BAY NSW 2105",ELVINA BAY,2105
604,-33.80087641,151.286235,"52 EAST ESPLANADE, MANLY NSW 2095",MANLY,2095
605,-33.7830489,151.2909164,"21-29 PAVILION STREET, QUEENSCLIFF NSW 2096",QUEENSCLIFF,2096
606,-33.76066133,151.2944328,"89 HEADLAND ROAD, NORTH CURL CURL NSW 2099",NORTH CURL CURL,2099
607,-33.66439408,151.3142567,"20 THE AVENUE, NEWPORT NSW 2106",NEWPORT,2106
608,-33.78987681,151.2782648,"21 BALGOWLAH ROAD, MANLY NSW 2095",MANLY,2095
609,-33.7464782,151.2847656,"1 EDNA PLACE, DEE WHY NSW 2099",DEE WHY,2099
610,-33.7911529,151.2850481,"115 PITTWATER ROAD, MANLY NSW 2095",MANLY,2095
611,-33.80585705,151.286456,"1 CRAIG AVENUE, MANLY NSW 2095",MANLY,2095
612,-33.62003257,151.3336802,"14 DOLPHIN CRESCENT, AVALON BEACH NSW 2107",AVALON BEACH,2107
613,-33.76845653,151.2935632,"51 ADAMS STREET, CURL CURL NSW 2096",CURL CURL,2096
614,-33.63130697,151.3256207,"18 SANCTUARY AVENUE, AVALON BEACH NSW 2107",AVALON BEACH,2107
615,-33.72476711,151.2218078,"10 LYNDHURST WAY, BELROSE NSW 2085",BELROSE,2085
616,-33.75604653,151.2989243,"190 PACIFIC PARADE, DEE WHY NSW 2099",DEE WHY,2099
617,-33.75918376,151.2986082,"47 MONASH PARADE, DEE WHY NSW 2099",DEE WHY,2099
618,-33.79829248,151.2533466,"19 ETHEL STREET, BALGOWLAH NSW 2093",BALGOWLAH,2093
619,-33.62860886,151.3212455,"21A CAPUA PLACE, AVALON BEACH NSW 2107",AVALON BEACH,2107
620,-33.66219113,151.2985069,"19-21 ALEXANDRA CRESCENT, BAYVIEW NSW 2104",BAYVIEW,2104
621,-33.71836669,151.2974513,"1 ROBERTSON STREET, NARRABEEN NSW 2101",NARRABEEN,2101
622,-33.78526798,151.2871388,"28-30 GREYCLIFFE STREET, QUEENSCLIFF NSW 2096",QUEENSCLIFF,2096
623,-33.78395363,151.2705986,"33A INNES ROAD, MANLY VALE NSW 2093",MANLY VALE,2093
624,-33.79030772,151.278775,"19 BALGOWLAH ROAD, MANLY NSW 2095",MANLY,2095
625,-33.7826005,151.286668,"36 CROWN ROAD, QUEENSCLIFF NSW 2096",QUEENSCLIFF,2096
626,-33.67814894,151.3088527,"20-22 GOLF AVENUE, MONA VALE NSW 2103",MONA VALE,2103
627,-33.65396722,151.3135545,"43 WALLUMATTA ROAD, NEWPORT NSW 2106",NEWPORT,2106
628,-33.74310989,151.2893454,"9 TURNER STREET, DEE WHY NSW 2099",DEE WHY,2099
629,-33.79913569,151.261643,"25 LOWER BEACH STREET, BALGOWLAH NSW 2093",BALGOWLAH,2093
630,-33.70438612,151.2935501,"36 NAREEN PARADE, NORTH NARRABEEN NSW 2101",NORTH NARRABEEN,2101
631,-33.70482252,151.3003826,"30 MALCOLM STREET, NARRABEEN NSW 2101",NARRABEEN,2101
632,-33.75458855,151.2936837,"88 OAKS AVENUE, DEE WHY NSW 2099",DEE WHY,2099
633,-33.74207814,151.2068276,"1 NIANBILLA PLACE, FRENCHS FOREST NSW 2086",FRENCHS FOREST,2086
634,-33.7760321,151.2716325,"490 PITTWATER ROAD, NORTH MANLY NSW 2100",NORTH MANLY,2100
635,-33.80200043,151.2930415,"93 BOWER STREET, MANLY NSW 2095",MANLY,2095
636,-33.80286854,151.2874672,"4 OSBORNE ROAD, MANLY NSW 2095",MANLY,2095
637,-33.7983279,151.274109,"32 LAUDERDALE AVENUE, FAIRLIGHT NSW 2094",FAIRLIGHT,2094
638,-33.79225656,151.2876892,"86 NORTH STEYNE, MANLY NSW 2095",MANLY,2095
639,-33.79566482,151.2771926,"1 THORNTON STREET, FAIRLIGHT NSW 2094",FAIRLIGHT,2094
640,-33.63696019,151.3293583,"70 OLD BARRENJOEY ROAD, AVALON BEACH NSW 2107",AVALON BEACH,2107
641,-33.75229876,151.2893867,"28 HOWARD AVENUE, DEE WHY NSW 2099",DEE WHY,2099
642,-33.8021608,151.2894292,"53 DARLEY ROAD, MANLY NSW 2095",MANLY,2095
643,-33.72788673,151.214215,"30 RALSTON AVENUE, BELROSE NSW 2085",BELROSE,2085
644,-33.64110232,151.3104779,"2 YARRABEE PLACE, BILGOLA PLATEAU NSW 2107",BILGOLA PLATEAU,2107
645,-33.78779647,151.2851645,"31 PACIFIC STREET, MANLY NSW 2095",MANLY,2095
646,-33.67518133,151.3156486,"37 SURFVIEW ROAD, MONA VALE NSW 2103",MONA VALE,2103
647,-33.7092027,151.3034406,"161 OCEAN STREET, NARRABEEN NSW 2101",NARRABEEN,2101
648,-33.60219752,151.3208559,"1026 BARRENJOEY ROAD, PALM BEACH NSW 2108",PALM BEACH,2108
649,-33.61714111,151.2072417,"4 NOTTING LANE, COTTAGE POINT NSW 2084",COTTAGE POINT,2084
650,-33.74584696,151.2902326,"15 GRAFTON CRESCENT, DEE WHY NSW 2099",DEE WHY,2099
651,-33.77544943,151.2762816,"131 SOLDIERS AVENUE, FRESHWATER NSW 2096",FRESHWATER,2096
652,-33.80358146,151.2846649,"6 COVE AVENUE, MANLY NSW 2095",MANLY,2095
653,-33.79999818,151.2849868,"47 EAST ESPLANADE, MANLY NSW 2095",MANLY,2095
654,-33.63778621,151.27977,"21 STURDEE LANE, ELVINA BAY NSW 2105",ELVINA BAY,2105
655,-33.75705406,151.293613,"15 WHEELER PARADE, DEE WHY NSW 2099",DEE WHY,2099
656,-33.79586851,151.2620476,"161A WOODLAND STREET, BALGOWLAH NSW 2093",BALGOWLAH,2093
657,-33.62120124,151.3206823,"25 CAREEL BAY CRESCENT, AVALON BEACH NSW 2107",AVALON BEACH,2107
658,-33.75572992,151.2846735,"7 DELMAR PARADE, DEE WHY NSW 2099",DEE WHY,2099
659,-33.75423743,151.2805542,"7 SELBY AVENUE, DEE WHY NSW 2099",DEE WHY,2099
660,-33.70550642,151.2879382,"128 RICKARD ROAD, NORTH NARRABEEN NSW 2101",NORTH NARRABEEN,2101
661,-33.79645229,151.2815579,"79 SYDNEY ROAD, MANLY NSW 2095",MANLY,2095
662,-33.75427971,151.2954463,"108 OAKS AVENUE, DEE WHY NSW 2099",DEE WHY,2099
663,-33.60374098,151.3205056,"1019 BARRENJOEY ROAD, PALM BEACH NSW 2108",PALM BEACH,2108
664,-33.75675216,151.2694789,"62 CONSUL ROAD, NARRAWEENA NSW 2099",NARRAWEENA,2099
665,-33.80286173,151.2895777,"84A DARLEY ROAD, MANLY NSW 2095",MANLY,2095
666,-33.75689919,151.2863275,"66 DELMAR PARADE, DEE WHY NSW 2099",DEE WHY,2099
667,-33.71399118,151.3002104,"4 WATERLOO STREET, NARRABEEN NSW 2101",NARRABEEN,2101
668,-33.78560289,151.2830545,"25 EUROBIN AVENUE, MANLY NSW 2095",MANLY,2095
669,-33.78767858,151.2852542,"31 PACIFIC STREET, MANLY NSW 2095",MANLY,2095
670,-33.78633324,151.2683802,"70 KENNETH ROAD, MANLY VALE NSW 2093",MANLY VALE,2093
671,-33.80210462,151.2885829,"72 DARLEY ROAD, MANLY NSW 2095",MANLY,2095
672,-33.80087266,151.2603953,"37 NEW STREET, BALGOWLAH HEIGHTS NSW 2093",BALGOWLAH HEIGHTS,2093
673,-33.75395668,151.2925528,"76 OAKS AVENUE, DEE WHY NSW 2099",DEE WHY,2099
674,-33.74989177,151.2711953,"75 EDWARD STREET, NARRAWEENA NSW 2099",NARRAWEENA,2099
675,-33.75318158,151.2875517,"896 PITTWATER ROAD, DEE WHY NSW 2099",DEE WHY,2099
676,-33.80582462,151.2889173,"53-55 WOOD STREET, MANLY NSW 2095",MANLY,2095
677,-33.74728262,151.2871675,"20 LISMORE AVENUE, DEE WHY NSW 2099",DEE WHY,2099
678,-33.65793806,151.3198189,"25 PALM ROAD, NEWPORT NSW 2106",NEWPORT,2106
679,-33.80499998,151.2848475,"15 COVE AVENUE, MANLY NSW 2095",MANLY,2095
680,-33.69770309,151.3072053,"18 SYDNEY ROAD, WARRIEWOOD NSW 2102",WARRIEWOOD,2102
681,-33.78546667,151.2753193,"28 ADDISCOMBE ROAD, MANLY VALE NSW 2093",MANLY VALE,2093
682,-33.7769666,151.2808179,"41 WILSON STREET, FRESHWATER NSW 2096",FRESHWATER,2096
683,-33.78155936,151.2847659,"74-78 CROWN ROAD, QUEENSCLIFF NSW 2096",QUEENSCLIFF,2096
684,-33.75047095,151.2880398,"9 KINGSWAY, DEE WHY NSW 2099",DEE WHY,2099
685,-33.79951817,151.2873236,"10 WENTWORTH STREET, MANLY NSW 2095",MANLY,2095
686,-33.75479022,151.2937011,"101 OAKS AVENUE, DEE WHY NSW 2099",DEE WHY,2099
687,-33.77418473,151.2694158,"528 PITTWATER ROAD, NORTH MANLY NSW 2100",NORTH MANLY,2100
688,-33.77114648,151.2921562,"3 FARNELL STREET, CURL CURL NSW 2096",CURL CURL,2096
689,-33.75408746,151.2935438,"86 OAKS AVENUE, DEE WHY NSW 2099",DEE WHY,2099
690,-33.60169446,151.3228845,"110 PACIFIC ROAD, PALM BEACH NSW 2108",PALM BEACH,2108
691,-33.80077271,151.2883605,"15 ASHBURNER STREET, MANLY NSW 2095",MANLY,2095
692,-33.79618902,151.2757047,"165 SYDNEY ROAD, FAIRLIGHT NSW 2094",FAIRLIGHT,2094
693,-33.75211576,151.2898417,"26 HOWARD AVENUE, DEE WHY NSW 2099",DEE WHY,2099
694,-33.78645777,151.2529718,"10 KALAUI STREET, NORTH BALGOWLAH NSW 2093",NORTH BALGOWLAH,2093
695,-33.80531652,151.2857209,"66 ADDISON ROAD, MANLY NSW 2095",MANLY,2095
696,-33.75834493,151.2757558,"29 PINE AVENUE, BROOKVALE NSW 2100",BROOKVALE,2100
697,-33.79564073,151.2706634,"56 HILLTOP CRESCENT, FAIRLIGHT NSW 2094",FAIRLIGHT,2094
698,-33.79815879,151.2812813,"93 WEST ESPLANADE, MANLY NSW 2095",MANLY,2095
699,-33.79425082,151.2815207,"7 QUINTON ROAD, MANLY NSW 2095",MANLY,2095
700,-33.77910498,151.2710105,"2A CAMPBELL PARADE, MANLY VALE NSW 2093",MANLY VALE,2093
701,-33.76542661,151.2493285,"132 ALLAMBIE ROAD, ALLAMBIE HEIGHTS NSW 2100",ALLAMBIE HEIGHTS,2100
702,-33.78425993,151.2871952,"29 GREYCLIFFE STREET, QUEENSCLIFF NSW 2096",QUEENSCLIFF,2096
703,-33.75392762,151.2957696,"105 HOWARD AVENUE, DEE WHY NSW 2099",DEE WHY,2099
704,-33.67157044,151.3103143,"5 KARIBOO CLOSE, MONA VALE NSW 2103",MONA VALE,2103
705,-33.78183851,151.2819372,"12 DALLEY STREET, QUEENSCLIFF NSW 2096",QUEENSCLIFF,2096
706,-33.79956425,151.2845828,"2 THE CORSO, MANLY NSW 2095",MANLY,2095
707,-33.79958179,151.2753505,"5 LAUDERDALE AVENUE, FAIRLIGHT NSW 2094",FAIRLIGHT,2094
708,-33.77790285,151.2787053,"15 MARTIN STREET, FRESHWATER NSW 2096",FRESHWATER,2096
709,-33.74046018,151.229852,"15 KURRAJONG ROAD, FRENCHS FOREST NSW 2086",FRENCHS FOREST,2086
710,-33.78488493,151.2847625,"45 EUROBIN AVENUE, MANLY NSW 2095",MANLY,2095
711,-33.77850495,151.2851547,"9 LAWRENCE STREET, FRESHWATER NSW 2096",FRESHWATER,2096
712,-33.70056163,151.3032967,"LAKESIDE HOLIDAY PARK, 3 NORFOLK PARADE, NORTH NARRABEEN NSW 2101",NORTH NARRABEEN,2101
713,-33.62664719,151.3354618,"7 BAREENA ROAD, AVALON BEACH NSW 2107",AVALON BEACH,2107
714,-33.7901419,151.2851054,"156 PITTWATER ROAD, MANLY NSW 2095",MANLY,2095
715,-33.59412469,151.3199627,"60 PALM BEACH ROAD, PALM BEACH NSW 2108",PALM BEACH,2108
716,-33.75868543,151.2765063,"20 FEDERAL PARADE, BROOKVALE NSW 2100",BROOKVALE,2100
717,-33.75592216,151.2825912,"625 PITTWATER ROAD, DEE WHY NSW 2099",DEE WHY,2099
718,-33.79508277,151.2806843,"20 BIRKLEY ROAD, MANLY NSW 2095",MANLY,2095
719,-33.78481407,151.2822236,"13 EUROBIN AVENUE, MANLY NSW 2095",MANLY,2095
720,-33.63490357,151.2916034,"1A-1B PITT VIEW STREET, SCOTLAND ISLAND NSW 2105",SCOTLAND ISLAND,2105
721,-33.78801212,151.2812183,"2 ROLFE STREET, MANLY NSW 2095",MANLY,2095
722,-33.77430148,151.2720604,"19 AUSTRAL AVENUE, NORTH MANLY NSW 2100",NORTH MANLY,2100
723,-33.60063531,151.3225218,"125 PACIFIC ROAD, PALM BEACH NSW 2108",PALM BEACH,2108
724,-33.80282605,151.2916439,"COLLEGE GREEN, 6 COLLEGE STREET, MANLY NSW 2095",MANLY,2095
725,-33.70856135,151.2939898,"25 RICKARD ROAD, NORTH NARRABEEN NSW 2101",NORTH NARRABEEN,2101
726,-33.75613673,151.2928204,"101 PACIFIC PARADE, DEE WHY NSW 2099",DEE WHY,2099
727,-33.6487175,151.3135391,"24 ARGYLE STREET, BILGOLA PLATEAU NSW 2107",BILGOLA PLATEAU,2107
728,-33.79614835,151.2864323,"5A RAGLAN STREET, MANLY NSW 2095",MANLY,2095
729,-33.78538074,151.2691037,"18 KOORALA STREET, MANLY VALE NSW 2093",MANLY VALE,2093
730,-33.72300946,151.2762524,"1 JAMES WHEELER PLACE, WHEELER HEIGHTS NSW 2097",WHEELER HEIGHTS,2097
731,-33.68783871,151.2952279,"THE CLUBHOUSE, 6-14 MACPHERSON STREET, WARRIEWOOD NSW 2102",WARRIEWOOD,2102
732,-33.78904739,151.2867118,"114-117 NORTH STEYNE, MANLY NSW 2095",MANLY,2095
